,Station,Roadway Name,Station Start,Station End
1719,14100,ARTHUR AVE,E 182ND ST,ARTHUR AVE
138,14101,E 184TH ST,JEROME AVE,GRD BLV/CONCRS
389,14102,E 184TH ST,THIRD AVE,ARTHUR AVE
550,14103,E 187TH ST,THIRD AVE,SOUTHERN BLVD
1720,14104,E 188TH ST,E FORDHAM AVE,GRAND CONCOURSE
1721,14105,E 190TH ST,JEROME AVE,CRESTON AVE
1722,14106,E 204TH ST,JEROME AVE,BAINBRIDGE AVE
1019,14107,E 204TH ST,BAINBRIDGE AVE,WEBSTER AVE
1723,14108,E 205TH ST,E MOSHOLU PKY,GRD BLV/CONCRS
1724,14109,E 205TH ST,WEBSTER AVE,BAINBRIDGE AGE
1725,14110,E 206TH ST,E MOSHOLU PKY,BAINBRIDGE AVE
1726,14111,E 208TH ST,KOSSUTH AVE,E 210TH ST
1727,14112,E 210TH ST,JEROME AVE,BAINBRIDGE AVE
494,14113,E 222ND ST,BRONX BLVD,WHITE PLAINS RD
1728,14114,E 225TH ST,WHITE PLAINS RD,BRONXWOOD AVE
1729,14115,E 225TH ST,LACONIA AVE,SCHIEFFELIN PL
1730,14116,E 226TH ST,WHITE PLAINS R,BRONXWOOD AVE
1731,14117,E 229TH ST,LACONIA AVE,NEEDHAM AVE
1732,14118,E 234TH ST,WHITE PLAINS R,BYRON AVE
1267,14119,E 236TH ST,WHITE PLAINS RD,BRONXWOOD AVE
1733,14120,E 241ST ST,BAYCHESTER AVE,WESTCHESTER CO LINE
1734,14121,E 242ND ST,WHITE PLAINS R,NY CO LINE
294,14122,E BURNSIDE AVE,JEROME AVE,VALENTINE AVE
1735,14123,E MSHOLU PKY N,BAINBRIDGE AVE,VAN CORTLAND AVE E
1736,14124,E MSHOLU PKY N,VAN CORTLAND AVE E,JEROME AVE
1737,14125,E MSHOLU PKY S,JEROME AVE,GRAND CONCOURSE
1738,14126,E MSHOLU PKY S,GRAND CONCOURSE,VAN CORTLAND AVE E
1739,14127,E MSHOLU PKY S,VAN CORTLAND AVE E,BAINBRIDGE AVE
1740,14128,E MSHOLU PKY S,BAINBRIDGE AVE,WEBSTER AVE
1287,14129,EARHART LA,HUNTER AVE,ERSKINE PL
1741,14130,EAST BAY AVE,TIFFANY ST,HALLECK ST
1742,14131,EDSON AVE,E 222ND ST,GUNHILL RD
393,14132,EINSTEIN LOOP S,HUTCHINSON RIVER PKWY E,EINSTEIN LOOP E
1743,14133,ELLSWORTH AVE,SCHLEY AVE,RANDALL AVE
1744,14134,THROGS NECK SR E,LAFAYETTE AVE,LAYTON AVE
774,14135,ERSKINE PL,PALMER AVE,EARHART LA
1745,14136,ESPLANADE AVE,PAULDING AVE,PELHAM PKWY S
